food_id;food_name;kcal;protein;carbohydrate;fiber;img_path
91;Batata, inglesa, cozida;51.6;1.2;11.9;1.3;NULL
92;Batata, inglesa, crua;64.4;1.8;14.7;1.2;NULL
93;Batata, inglesa, frita;267.2;5.0;35.6;8.1;NULL
94;Batata, inglesa, sauté;67.9;1.3;14.1;1.4;NULL
95;Berinjela, cozida;18.8;0.7;4.5;2.5;NULL
96;Berinjela, crua;19.6;1.2;4.4;2.9;NULL
97;Beterraba, cozida;32.2;1.3;7.2;1.9;NULL
98;Beterraba, crua;48.8;1.9;11.1;3.4;NULL
99;Biscoito, polvilho doce;437.5;1.3;80.5;1.2;NULL
100;Brócolis, cozido;24.6;2.1;4.4;3.4;NULL
101;Brócolis, cru;25.5;3.6;4.0;2.9;NULL
102;Cará, cozido;77.6;1.5;18.9;2.6;NULL
103;Cará, cru;95.6;2.3;23.0;7.3;NULL
104;Caruru, cru;34.0;3.2;6.0;4.5;NULL
105;Catalonha, crua;23.9;1.9;4.8;2.0;NULL
106;Catalonha, refogada;63.4;2.0;4.8;3.7;NULL
107;Cebola, crua;39.4;1.7;8.9;2.2;NULL
108;Cebolinha, crua;19.5;1.9;3.4;3.6;NULL
109;Cenoura, cozida;29.9;0.8;6.7;2.6;NULL
110;Cenoura, crua;34.1;1.3;7.7;3.2;NULL
111;Chicória, crua;13.8;1.1;2.9;2.2;NULL
112;Chuchu, cozido;18.5;0.4;4.8;1.0;NULL
113;Chuchu, cru;17.0;0.7;4.1;1.3;NULL
114;Coen o, folhas desidratadas;309.1;20.9;48.0;37.3;NULL
115;Couve, manteiga, crua;27.1;2.9;4.3;3.1;NULL
116;Couve, manteiga, refogada ;90.3;1.7;8.7;5.7;NULL
117;Couve-flor, crua;22.6;1.9;4.5;2.4;NULL
118;Couve-flor, cozida;19.1;1.2;3.9;2.1;NULL
119;Espi fre, Nova Zelândia, cru;16.1;2.0;2.6;2.1;NULL
120;Espi fre, Nova Zelândia, refogado;67.3;2.7;4.2;2.5;NULL
121;Farinha, de mandioca, crua;360.9;1.6;87.9;6.4;NULL
122;Farinha, de mandioca, torrada;365.3;1.2;89.2;6.5;NULL
123;Farinha, de puba;360.2;1.6;87.3;4.2;NULL
124;Fécula, de mandioca;330.9;0.5;81.1;0.6;NULL
125;Feijão, broto, cru;38.7;4.2;7.8;2.0;NULL
126;Inhame, cru;96.7;2.1;23.2;1.7;NULL
127;Jiló, cru;27.4;1.4;6.2;4.8;NULL
128;Jurubeba, crua;125.8;4.4;23.1;23.9;NULL
129;Mandioca, cozida;125.4;0.6;30.1;1.6;NULL
130;Mandioca, crua;151.4;1.1;36.2;1.9;NULL
131;Mandioca, farofa, temperada;405.7;2.1;80.3;7.8;NULL
132;Mandioca, frita;300.1;1.4;50.3;1.9;NULL
133;Manjericão, cru;21.1;2.0;3.6;3.3;NULL
134;Maxixe, cru;13.7;1.4;2.7;2.2;NULL
135;Mostarda, folha, crua;18.1;2.1;3.2;1.9;NULL
136;Nhoque, batata, cozido;180.8;5.9;36.8;1.8;NULL
137; bo, cru;18.2;1.2;4.1;2.6;NULL
138;Palmito, juçara, em conserva;23.2;1.8;4.3;3.2;NULL
139;Palmito, pupunha, em conserva;29.4;2.5;5.5;2.6;NULL
140;Pão, de queijo, assado;363.1;5.1;34.2;0.6;NULL
141;Pão, de queijo, cru;294.5;3.6;38.5;1.0;NULL
142;Pepino, cru;9.5;0.9;2.0;1.1;NULL
143;Pimentão, amarelo, cru;27.9;1.2;6.0;1.9;NULL
144;Pimentão, verde, cru;21.3;1.1;4.9;2.6;NULL
145;Pimentão, vermelho, cru;23.3;1.0;5.5;1.6;NULL
146;Polvilho, doce;351.2;0.4;86.8;0.2;NULL
147;Quiabo, cru;29.9;1.9;6.4;4.6;NULL
148;Rabanete, cru;13.7;1.4;2.7;2.2;NULL
149;Repolho, branco, cru;17.1;0.9;3.9;1.9;NULL
150;Repolho, roxo, cru;30.9;1.9;7.2;2.0;NULL
151;Repolho, roxo, refogado;41.8;1.8;7.6;1.8;NULL
152;Rúcula, crua;13.1;1.8;2.2;1.7;NULL
153;Salsa, crua;33.4;3.3;5.7;1.9;NULL
154;Seleta de legumes, enlatada;56.5;3.4;12.7;3.1;NULL
155;Serralha, crua;30.4;2.7;4.9;3.5;NULL
